# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-15 22:48:12 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01052500 Diamond River near Wentworth Location, NH
# -----------------------------------------------------------------------------------
#
# Data provided for site 01052500
#            TS   parameter     Description
#         65661       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
# 
agency_cd	site_no	datetime	tz_cd	65661_00060	65661_00060_cd
5s	15s	20d	6s	14n	10s
USGS	01052500	2005-04-14 00:00	EDT	685	A:[91]
USGS	01052500	2005-04-14 00:15	EDT	665	A:[91]
USGS	01052500	2005-04-14 00:30	EDT	685	A:[91]
USGS	01052500	2005-04-14 00:45	EDT	670	A:[91]
USGS	01052500	2005-04-14 01:00	EDT	675	A:[91]
USGS	01052500	2005-04-14 01:15	EDT	675	A:[91]
USGS	01052500	2005-04-14 01:30	EDT	675	A:[91]
USGS	01052500	2005-04-14 01:45	EDT	675	A:[91]
USGS	01052500	2005-04-14 02:00	EDT	665	A:[91]
USGS	01052500	2005-04-14 02:15	EDT	665	A:[91]
USGS	01052500	2005-04-14 02:30	EDT	685	A:[91]
USGS	01052500	2005-04-14 02:45	EDT	675	A:[91]
USGS	01052500	2005-04-14 03:00	EDT	670	A:[91]
USGS	01052500	2005-04-14 03:15	EDT	670	A:[91]
USGS	01052500	2005-04-14 03:30	EDT	675	A:[91]
USGS	01052500	2005-04-14 03:45	EDT	670	A:[91]
USGS	01052500	2005-04-14 04:00	EDT	675	A:[91]
USGS	01052500	2005-04-14 04:15	EDT	670	A:[91]
USGS	01052500	2005-04-14 04:30	EDT	675	A:[91]
USGS	01052500	2005-04-14 04:45	EDT	661	A:[91]
USGS	01052500	2005-04-14 05:00	EDT	665	A:[91]
USGS	01052500	2005-04-14 05:15	EDT	661	A:[91]
USGS	01052500	2005-04-14 05:30	EDT	670	A:[91]
USGS	01052500	2005-04-14 05:45	EDT	670	A:[91]
USGS	01052500	2005-04-14 06:00	EDT	670	A:[91]
USGS	01052500	2005-04-14 06:15	EDT	665	A:[91]
USGS	01052500	2005-04-14 06:30	EDT	665	A:[91]
USGS	01052500	2005-04-14 06:45	EDT	651	A:[91]
USGS	01052500	2005-04-14 07:00	EDT	656	A:[91]
USGS	01052500	2005-04-14 07:15	EDT	656	A:[91]
USGS	01052500	2005-04-14 07:30	EDT	656	A:[91]
USGS	01052500	2005-04-14 07:45	EDT	651	A:[91]
USGS	01052500	2005-04-14 08:00	EDT	651	A:[91]
USGS	01052500	2005-04-14 08:15	EDT	651	A:[91]
USGS	01052500	2005-04-14 08:30	EDT	651	A:[91]
USGS	01052500	2005-04-14 08:45	EDT	651	A:[91]
USGS	01052500	2005-04-14 09:00	EDT	651	A:[91]
USGS	01052500	2005-04-14 09:15	EDT	646	A:[91]
USGS	01052500	2005-04-14 09:30	EDT	646	A:[91]
USGS	01052500	2005-04-14 09:45	EDT	642	A:[91]
USGS	01052500	2005-04-14 10:00	EDT	637	A:[91]
USGS	01052500	2005-04-14 10:15	EDT	637	A:[91]
USGS	01052500	2005-04-14 10:30	EDT	632	A:[91]
USGS	01052500	2005-04-14 10:45	EDT	632	A:[91]
USGS	01052500	2005-04-14 11:00	EDT	646	A:[91]
USGS	01052500	2005-04-14 11:15	EDT	632	A:[91]
USGS	01052500	2005-04-14 11:30	EDT	628	A:[91]
USGS	01052500	2005-04-14 11:45	EDT	628	A:[91]
USGS	01052500	2005-04-14 12:00	EDT	628	A:[91]
USGS	01052500	2005-04-14 12:15	EDT	619	A:[91]
USGS	01052500	2005-04-14 12:30	EDT	619	A:[91]
USGS	01052500	2005-04-14 12:45	EDT	623	A:[91]
USGS	01052500	2005-04-14 13:00	EDT	623	A:[91]
USGS	01052500	2005-04-14 13:15	EDT	609	A:[91]
USGS	01052500	2005-04-14 13:30	EDT	609	A:[91]
USGS	01052500	2005-04-14 13:45	EDT	605	A:[91]
USGS	01052500	2005-04-14 14:00	EDT	605	A:[91]
USGS	01052500	2005-04-14 14:15	EDT	605	A:[91]
USGS	01052500	2005-04-14 14:30	EDT	619	A:[91]
USGS	01052500	2005-04-14 14:45	EDT	628	A:[91]
USGS	01052500	2005-04-14 15:00	EDT	619	A:[91]
USGS	01052500	2005-04-14 15:15	EDT	609	A:[91]
