# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-15 23:02:16 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01052500 Diamond River near Wentworth Location, NH
# -----------------------------------------------------------------------------------
#
# Data provided for site 01052500
#            TS   parameter     Description
#         65661       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	65661_00060	65661_00060_cd
5s	15s	20d	6s	14n	10s
USGS	01052500	2019-01-01 00:00	EST	352	A:e
USGS	01052500	2019-01-01 08:00	EST	333	A:e
USGS	01052500	2019-01-01 16:00	EST	318	A:e
USGS	01052500	2019-01-02 00:00	EST	302	A:e
USGS	01052500	2019-01-02 08:00	EST	287	A:e
USGS	01052500	2019-01-02 16:00	EST	277	A:e
USGS	01052500	2019-01-03 00:00	EST	267	A:e
USGS	01052500	2019-01-03 08:00	EST	257	A:e
USGS	01052500	2019-01-03 16:00	EST	253	A:e
USGS	01052500	2019-01-04 00:00	EST	248	A:e
USGS	01052500	2019-01-04 08:00	EST	244	A:e
USGS	01052500	2019-01-04 16:00	EST	240	A:e
USGS	01052500	2019-01-05 00:00	EST	233	A:e
USGS	01052500	2019-01-05 08:00	EST	224	A:e
USGS	01052500	2019-01-05 16:00	EST	217	A:e
USGS	01052500	2019-01-06 00:00	EST	213	A:e
USGS	01052500	2019-01-06 08:00	EST	210	A:e
USGS	01052500	2019-01-06 16:00	EST	206	A:e
USGS	01052500	2019-01-07 00:00	EST	197	A:e
USGS	01052500	2019-01-07 08:00	EST	184	A:e
USGS	01052500	2019-01-07 16:00	EST	175	A:e
USGS	01052500	2019-01-08 00:00	EST	167	A:e
USGS	01052500	2019-01-08 08:00	EST	160	A:e
USGS	01052500	2019-01-08 16:00	EST	156	A:e
USGS	01052500	2019-01-09 00:00	EST	154	A:e
USGS	01052500	2019-01-09 08:00	EST	152	A:e
USGS	01052500	2019-01-09 16:00	EST	151	A:e
USGS	01052500	2019-01-10 00:00	EST	150	A:e
USGS	01052500	2019-01-10 08:00	EST	148	A:e
USGS	01052500	2019-01-10 16:00	EST	146	A:e
USGS	01052500	2019-01-11 00:00	EST	144	A:e
USGS	01052500	2019-01-11 08:00	EST	142	A:e
USGS	01052500	2019-01-11 16:00	EST	141	A:e
USGS	01052500	2019-01-12 00:00	EST	139	A:e
USGS	01052500	2019-01-12 08:00	EST	138	A:e
USGS	01052500	2019-01-12 16:00	EST	136	A:e
USGS	01052500	2019-01-13 00:00	EST	135	A:e
USGS	01052500	2019-01-13 08:00	EST	134	A:e
USGS	01052500	2019-01-13 16:00	EST	132	A:e
USGS	01052500	2019-01-14 00:00	EST	131	A:e
USGS	01052500	2019-01-14 08:00	EST	130	A:e
USGS	01052500	2019-01-14 16:00	EST	128	A:e
USGS	01052500	2019-01-15 00:00	EST	127	A:e
USGS	01052500	2019-01-15 08:00	EST	125	A:e
USGS	01052500	2019-01-15 16:00	EST	124	A:e
USGS	01052500	2019-01-16 00:00	EST	123	A:e
USGS	01052500	2019-01-16 08:00	EST	122	A:e
USGS	01052500	2019-01-16 16:00	EST	120	A:e
USGS	01052500	2019-01-17 00:00	EST	119	A:e
USGS	01052500	2019-01-17 08:00	EST	118	A:e
USGS	01052500	2019-01-17 16:00	EST	117	A:e
USGS	01052500	2019-01-18 00:00	EST	116	A:e
USGS	01052500	2019-01-18 08:00	EST	114	A:e
USGS	01052500	2019-01-18 16:00	EST	113	A:e
USGS	01052500	2019-01-19 00:00	EST	112	A:e
USGS	01052500	2019-01-19 08:00	EST	111	A:e
USGS	01052500	2019-01-19 16:00	EST	110	A:e
USGS	01052500	2019-01-20 00:00	EST	109	A:e
USGS	01052500	2019-01-20 08:00	EST	108	A:e
USGS	01052500	2019-01-20 16:00	EST	106	A:e
USGS	01052500	2019-01-21 00:00	EST	105	A:e
USGS	01052500	2019-01-21 08:00	EST	104	A:e
USGS	01052500	2019-01-21 16:00	EST	103	A:e
USGS	01052500	2019-01-22 00:00	EST	102	A:e
