# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-15 22:24:38 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02163500 SALUDA RIVER NEAR WARE SHOALS, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02163500
#            TS   parameter     Description
#        237980       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
# 
agency_cd	site_no	datetime	tz_cd	237980_00060	237980_00060_cd
5s	15s	20d	6s	14n	10s
USGS	02163500	1990-01-01 00:00	EST	754	A:[91]
USGS	02163500	1990-01-01 01:00	EST	754	A:[91]
USGS	02163500	1990-01-01 02:00	EST	754	A:[91]
USGS	02163500	1990-01-01 03:00	EST	754	A:[91]
USGS	02163500	1990-01-01 04:00	EST	754	A:[91]
USGS	02163500	1990-01-01 05:00	EST	759	A:[91]
USGS	02163500	1990-01-01 06:00	EST	759	A:[91]
USGS	02163500	1990-01-01 07:00	EST	759	A:[91]
USGS	02163500	1990-01-01 08:00	EST	768	A:[91]
USGS	02163500	1990-01-01 09:00	EST	916	A:[91]
USGS	02163500	1990-01-01 10:00	EST	1220	A:[91]
USGS	02163500	1990-01-01 11:00	EST	1420	A:[91]
USGS	02163500	1990-01-01 12:00	EST	1630	A:[91]
USGS	02163500	1990-01-01 13:00	EST	1920	A:[91]
USGS	02163500	1990-01-01 14:00	EST	2150	A:[91]
USGS	02163500	1990-01-01 15:00	EST	2270	A:[91]
USGS	02163500	1990-01-01 16:00	EST	2220	A:[91]
USGS	02163500	1990-01-01 17:00	EST	2150	A:[91]
USGS	02163500	1990-01-01 18:00	EST	1960	A:[91]
