# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-15 22:32:37 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02163500 SALUDA RIVER NEAR WARE SHOALS, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02163500
#            TS   parameter     Description
#        237980       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
# 
agency_cd	site_no	datetime	tz_cd	237980_00060	237980_00060_cd
5s	15s	20d	6s	14n	10s
USGS	02163500	1998-01-01 00:00	EST	900	A:[91]
USGS	02163500	1998-01-01 00:15	EST	905	A:[91]
USGS	02163500	1998-01-01 00:30	EST	900	A:[91]
USGS	02163500	1998-01-01 00:45	EST	900	A:[91]
USGS	02163500	1998-01-01 01:00	EST	895	A:[91]
USGS	02163500	1998-01-01 01:15	EST	895	A:[91]
USGS	02163500	1998-01-01 01:30	EST	895	A:[91]
USGS	02163500	1998-01-01 01:45	EST	895	A:[91]
USGS	02163500	1998-01-01 02:00	EST	895	A:[91]
USGS	02163500	1998-01-01 02:15	EST	891	A:[91]
USGS	02163500	1998-01-01 02:30	EST	891	A:[91]
USGS	02163500	1998-01-01 02:45	EST	895	A:[91]
USGS	02163500	1998-01-01 03:00	EST	891	A:[91]
USGS	02163500	1998-01-01 03:15	EST	891	A:[91]
USGS	02163500	1998-01-01 03:30	EST	886	A:[91]
USGS	02163500	1998-01-01 03:45	EST	886	A:[91]
USGS	02163500	1998-01-01 04:00	EST	881	A:[91]
USGS	02163500	1998-01-01 04:15	EST	886	A:[91]
USGS	02163500	1998-01-01 04:30	EST	886	A:[91]
USGS	02163500	1998-01-01 04:45	EST	863	A:[91]
USGS	02163500	1998-01-01 05:00	EST	831	A:[91]
USGS	02163500	1998-01-01 05:15	EST	808	A:[91]
USGS	02163500	1998-01-01 05:30	EST	790	A:[91]
USGS	02163500	1998-01-01 05:45	EST	786	A:[91]
USGS	02163500	1998-01-01 06:00	EST	781	A:[91]
USGS	02163500	1998-01-01 06:15	EST	786	A:[91]
USGS	02163500	1998-01-01 06:30	EST	786	A:[91]
USGS	02163500	1998-01-01 06:45	EST	795	A:[91]
USGS	02163500	1998-01-01 07:00	EST	795	A:[91]
USGS	02163500	1998-01-01 07:15	EST	799	A:[91]
USGS	02163500	1998-01-01 07:30	EST	803	A:[91]
USGS	02163500	1998-01-01 07:45	EST	812	A:[91]
USGS	02163500	1998-01-01 08:00	EST	812	A:[91]
USGS	02163500	1998-01-01 08:15	EST	817	A:[91]
USGS	02163500	1998-01-01 08:30	EST	817	A:[91]
USGS	02163500	1998-01-01 08:45	EST	817	A:[91]
USGS	02163500	1998-01-01 09:00	EST	822	A:[91]
USGS	02163500	1998-01-01 09:15	EST	822	A:[91]
USGS	02163500	1998-01-01 09:30	EST	822	A:[91]
USGS	02163500	1998-01-01 09:45	EST	822	A:[91]
USGS	02163500	1998-01-01 10:00	EST	822	A:[91]
USGS	02163500	1998-01-01 10:15	EST	822	A:[91]
USGS	02163500	1998-01-01 10:30	EST	812	A:[91]
USGS	02163500	1998-01-01 10:45	EST	808	A:[91]
USGS	02163500	1998-01-01 11:00	EST	799	A:[91]
USGS	02163500	1998-01-01 11:15	EST	799	A:[91]
USGS	02163500	1998-01-01 11:30	EST	790	A:[91]
USGS	02163500	1998-01-01 11:45	EST	790	A:[91]
USGS	02163500	1998-01-01 12:00	EST	790	A:[91]
USGS	02163500	1998-01-01 12:15	EST	790	A:[91]
USGS	02163500	1998-01-01 12:30	EST	790	A:[91]
USGS	02163500	1998-01-01 12:45	EST	790	A:[91]
USGS	02163500	1998-01-01 13:00	EST	790	A:[91]
USGS	02163500	1998-01-01 13:15	EST	790	A:[91]
USGS	02163500	1998-01-01 13:30	EST	795	A:[91]
USGS	02163500	1998-01-01 13:45	EST	799	A:[91]
USGS	02163500	1998-01-01 14:00	EST	803	A:[91]
USGS	02163500	1998-01-01 14:15	EST	812	A:[91]
USGS	02163500	1998-01-01 14:30	EST	812	A:[91]
USGS	02163500	1998-01-01 14:45	EST	812	A:[91]
USGS	02163500	1998-01-01 15:00	EST	812	A:[91]
USGS	02163500	1998-01-01 15:15	EST	812	A:[91]
USGS	02163500	1998-01-01 15:30	EST	812	A:[91]
USGS	02163500	1998-01-01 15:45	EST	812	A:[91]
USGS	02163500	1998-01-01 16:00	EST	812	A:[91]
USGS	02163500	1998-01-01 16:15	EST	808	A:[91]
USGS	02163500	1998-01-01 16:30	EST	808	A:[91]
USGS	02163500	1998-01-01 16:45	EST	808	A:[91]
USGS	02163500	1998-01-01 17:00	EST	808	A:[91]
USGS	02163500	1998-01-01 17:15	EST	808	A:[91]
USGS	02163500	1998-01-01 17:30	EST	795	A:[91]
USGS	02163500	1998-01-01 17:45	EST	777	A:[91]
USGS	02163500	1998-01-01 18:00	EST	755	A:[91]
USGS	02163500	1998-01-01 18:15	EST	746	A:[91]
USGS	02163500	1998-01-01 18:30	EST	733	A:[91]
USGS	02163500	1998-01-01 18:45	EST	729	A:[91]
USGS	02163500	1998-01-01 19:00	EST	720	A:[91]
USGS	02163500	1998-01-01 19:15	EST	720	A:[91]
USGS	02163500	1998-01-01 19:30	EST	720	A:[91]
USGS	02163500	1998-01-01 19:45	EST	691	A:[91]
USGS	02163500	1998-01-01 20:00	EST	637	A:[91]
USGS	02163500	1998-01-01 20:15	EST	641	A:[91]
USGS	02163500	1998-01-01 20:30	EST	658	A:[91]
USGS	02163500	1998-01-01 20:45	EST	682	A:[91]
USGS	02163500	1998-01-01 21:00	EST	699	A:[91]
USGS	02163500	1998-01-01 21:15	EST	716	A:[91]
USGS	02163500	1998-01-01 21:30	EST	720	A:[91]
USGS	02163500	1998-01-01 21:45	EST	716	A:[91]
USGS	02163500	1998-01-01 22:00	EST	716	A:[91]
USGS	02163500	1998-01-01 22:15	EST	725	A:[91]
USGS	02163500	1998-01-01 22:30	EST	729	A:[91]
USGS	02163500	1998-01-01 22:45	EST	733	A:[91]
USGS	02163500	1998-01-01 23:00	EST	738	A:[91]
USGS	02163500	1998-01-01 23:15	EST	729	A:[91]
USGS	02163500	1998-01-01 23:30	EST	733	A:[91]
USGS	02163500	1998-01-01 23:45	EST	720	A:[91]
USGS	02163500	1998-01-02 00:00	EST	712	A:[91]
USGS	02163500	1998-01-02 00:15	EST	699	A:[91]
USGS	02163500	1998-01-02 00:30	EST	691	A:[91]
USGS	02163500	1998-01-02 00:45	EST	691	A:[91]
USGS	02163500	1998-01-02 01:00	EST	682	A:[91]
USGS	02163500	1998-01-02 01:15	EST	682	A:[91]
USGS	02163500	1998-01-02 01:30	EST	682	A:[91]
USGS	02163500	1998-01-02 01:45	EST	678	A:[91]
USGS	02163500	1998-01-02 02:00	EST	682	A:[91]
USGS	02163500	1998-01-02 02:15	EST	682	A:[91]
USGS	02163500	1998-01-02 02:30	EST	682	A:[91]
USGS	02163500	1998-01-02 02:45	EST	682	A:[91]
USGS	02163500	1998-01-02 03:00	EST	687	A:[91]
USGS	02163500	1998-01-02 03:15	EST	682	A:[91]
USGS	02163500	1998-01-02 03:30	EST	687	A:[91]
USGS	02163500	1998-01-02 03:45	EST	682	A:[91]
USGS	02163500	1998-01-02 04:00	EST	687	A:[91]
USGS	02163500	1998-01-02 04:15	EST	682	A:[91]
USGS	02163500	1998-01-02 04:30	EST	687	A:[91]
USGS	02163500	1998-01-02 04:45	EST	687	A:[91]
USGS	02163500	1998-01-02 05:00	EST	682	A:[91]
USGS	02163500	1998-01-02 05:15	EST	687	A:[91]
USGS	02163500	1998-01-02 05:30	EST	687	A:[91]
USGS	02163500	1998-01-02 05:45	EST	687	A:[91]
USGS	02163500	1998-01-02 06:00	EST	691	A:[91]
USGS	02163500	1998-01-02 06:15	EST	687	A:[91]
USGS	02163500	1998-01-02 06:30	EST	687	A:[91]
USGS	02163500	1998-01-02 06:45	EST	687	A:[91]
USGS	02163500	1998-01-02 07:00	EST	687	A:[91]
USGS	02163500	1998-01-02 07:15	EST	716	A:[91]
USGS	02163500	1998-01-02 07:30	EST	750	A:[91]
USGS	02163500	1998-01-02 07:45	EST	768	A:[91]
USGS	02163500	1998-01-02 08:00	EST	786	A:[91]
USGS	02163500	1998-01-02 08:15	EST	795	A:[91]
USGS	02163500	1998-01-02 08:30	EST	799	A:[91]
USGS	02163500	1998-01-02 08:45	EST	803	A:[91]
USGS	02163500	1998-01-02 09:00	EST	803	A:[91]
USGS	02163500	1998-01-02 09:15	EST	803	A:[91]
USGS	02163500	1998-01-02 09:30	EST	803	A:[91]
USGS	02163500	1998-01-02 09:45	EST	803	A:[91]
USGS	02163500	1998-01-02 10:00	EST	803	A:[91]
USGS	02163500	1998-01-02 10:15	EST	803	A:[91]
USGS	02163500	1998-01-02 10:30	EST	803	A:[91]
USGS	02163500	1998-01-02 10:45	EST	803	A:[91]
USGS	02163500	1998-01-02 11:00	EST	803	A:[91]
USGS	02163500	1998-01-02 11:15	EST	799	A:[91]
USGS	02163500	1998-01-02 11:30	EST	803	A:[91]
USGS	02163500	1998-01-02 11:45	EST	803	A:[91]
USGS	02163500	1998-01-02 12:00	EST	803	A:[91]
USGS	02163500	1998-01-02 12:15	EST	803	A:[91]
USGS	02163500	1998-01-02 12:30	EST	803	A:[91]
USGS	02163500	1998-01-02 12:45	EST	803	A:[91]
USGS	02163500	1998-01-02 13:00	EST	808	A:[91]
USGS	02163500	1998-01-02 13:15	EST	803	A:[91]
USGS	02163500	1998-01-02 13:30	EST	808	A:[91]
USGS	02163500	1998-01-02 13:45	EST	812	A:[91]
USGS	02163500	1998-01-02 14:00	EST	808	A:[91]
USGS	02163500	1998-01-02 14:15	EST	808	A:[91]
USGS	02163500	1998-01-02 14:30	EST	808	A:[91]
USGS	02163500	1998-01-02 14:45	EST	808	A:[91]
USGS	02163500	1998-01-02 15:00	EST	803	A:[91]
USGS	02163500	1998-01-02 15:15	EST	803	A:[91]
USGS	02163500	1998-01-02 15:30	EST	803	A:[91]
USGS	02163500	1998-01-02 15:45	EST	803	A:[91]
USGS	02163500	1998-01-02 16:00	EST	799	A:[91]
USGS	02163500	1998-01-02 16:15	EST	799	A:[91]
USGS	02163500	1998-01-02 16:30	EST	799	A:[91]
USGS	02163500	1998-01-02 16:45	EST	803	A:[91]
USGS	02163500	1998-01-02 17:00	EST	799	A:[91]
USGS	02163500	1998-01-02 17:15	EST	799	A:[91]
USGS	02163500	1998-01-02 17:30	EST	803	A:[91]
USGS	02163500	1998-01-02 17:45	EST	803	A:[91]
USGS	02163500	1998-01-02 18:00	EST	808	A:[91]
USGS	02163500	1998-01-02 18:15	EST	803	A:[91]
USGS	02163500	1998-01-02 18:30	EST	808	A:[91]
USGS	02163500	1998-01-02 18:45	EST	812	A:[91]
USGS	02163500	1998-01-02 19:00	EST	803	A:[91]
USGS	02163500	1998-01-02 19:15	EST	812	A:[91]
USGS	02163500	1998-01-02 19:30	EST	808	A:[91]
USGS	02163500	1998-01-02 19:45	EST	808	A:[91]
USGS	02163500	1998-01-02 20:00	EST	808	A:[91]
USGS	02163500	1998-01-02 20:15	EST	803	A:[91]
USGS	02163500	1998-01-02 20:30	EST	808	A:[91]
USGS	02163500	1998-01-02 20:45	EST	803	A:[91]
USGS	02163500	1998-01-02 21:00	EST	803	A:[91]
USGS	02163500	1998-01-02 21:15	EST	803	A:[91]
USGS	02163500	1998-01-02 21:30	EST	808	A:[91]
USGS	02163500	1998-01-02 21:45	EST	803	A:[91]
USGS	02163500	1998-01-02 22:00	EST	803	A:[91]
USGS	02163500	1998-01-02 22:15	EST	808	A:[91]
USGS	02163500	1998-01-02 22:30	EST	803	A:[91]
USGS	02163500	1998-01-02 22:45	EST	803	A:[91]
USGS	02163500	1998-01-02 23:00	EST	799	A:[91]
USGS	02163500	1998-01-02 23:15	EST	803	A:[91]
USGS	02163500	1998-01-02 23:30	EST	803	A:[91]
USGS	02163500	1998-01-02 23:45	EST	803	A:[91]
USGS	02163500	1998-01-03 00:00	EST	799	A:[91]
USGS	02163500	1998-01-03 00:15	EST	786	A:[91]
USGS	02163500	1998-01-03 00:30	EST	772	A:[91]
USGS	02163500	1998-01-03 00:45	EST	764	A:[91]
USGS	02163500	1998-01-03 01:00	EST	759	A:[91]
USGS	02163500	1998-01-03 01:15	EST	755	A:[91]
USGS	02163500	1998-01-03 01:30	EST	759	A:[91]
USGS	02163500	1998-01-03 01:45	EST	759	A:[91]
USGS	02163500	1998-01-03 02:00	EST	759	A:[91]
USGS	02163500	1998-01-03 02:15	EST	759	A:[91]
USGS	02163500	1998-01-03 02:30	EST	759	A:[91]
